iter	Passed	Remaining
0	183	183499
1	185	92769
2	188	62633
3	191	47562
4	192	38388
5	194	32274
6	196	27862
7	197	24532
8	199	22017
9	202	20000
10	203	18305
11	205	16923
12	207	15753
13	209	14726
14	211	13863
15	212	13077
16	214	12394
17	215	11778
18	217	11242
19	219	10746
20	220	10287
21	222	9907
22	224	9550
23	226	9206
24	228	8897
25	230	8651
26	232	8394
27	235	8164
28	237	7950
29	239	7733
30	242	7566
31	244	7385
32	245	7198
33	247	7027
34	249	6877
35	251	6721
36	252	6563
37	253	6426
38	255	6286
39	256	6159
40	258	6051
41	260	5934
42	261	5821
43	262	5705
44	263	5591
45	264	5482
46	265	5379
47	266	5281
48	267	5186
49	268	5093
50	269	5008
51	270	4928
52	271	4849
53	272	4773
54	273	4696
55	274	4621
56	275	4551
57	275	4482
58	276	4417
59	277	4354
60	278	4291
61	279	4229
62	280	4171
63	281	4113
64	282	4062
65	283	4011
66	284	3960
67	285	3911
68	286	3864
69	287	3814
70	287	3766
71	288	3720
72	289	3678
73	290	3635
74	291	3593
75	292	3552
76	292	3512
77	293	3473
78	294	3434
79	295	3400
80	296	3367
81	297	3334
82	298	3295
83	299	3261
84	300	3229
85	300	3196
86	301	3167
87	302	3137
88	303	3110
89	304	3080
90	305	3051
91	306	3022
92	307	2994
93	307	2968
94	308	2943
95	309	2918
96	310	2893
97	311	2868
98	312	2844
99	313	2820
100	314	2796
101	315	2773
102	316	2753
103	317	2731
104	317	2708
105	318	2686
106	319	2665
107	320	2644
108	321	2625
109	322	2606
110	323	2587
111	323	2567
112	324	2547
113	325	2529
114	326	2511
115	327	2493
116	327	2474
117	329	2459
118	329	2443
119	330	2425
120	331	2408
121	332	2391
122	333	2376
123	334	2361
124	335	2348
125	336	2333
126	337	2317
127	338	2303
128	338	2288
129	339	2274
130	341	2263
131	342	2250
132	343	2236
133	344	2223
134	345	2211
135	346	2198
136	347	2187
137	348	2176
138	349	2163
139	350	2151
140	351	2138
141	351	2123
142	352	2111
143	353	2099
144	354	2088
145	355	2077
146	355	2065
147	356	2054
148	357	2043
149	358	2032
150	359	2023
151	360	2013
152	361	2001
153	362	1990
154	363	1979
155	363	1968
156	364	1957
157	365	1947
158	366	1937
159	367	1928
160	367	1916
161	368	1907
162	370	1900
163	371	1891
164	372	1883
165	373	1875
166	374	1868
167	375	1860
168	376	1850
169	377	1842
170	378	1834
171	379	1825
172	380	1817
173	381	1809
174	382	1800
175	382	1792
176	383	1783
177	384	1775
178	385	1767
179	386	1760
180	387	1752
181	387	1743
182	388	1735
183	389	1726
184	390	1718
185	391	1711
186	391	1703
187	392	1696
188	393	1689
189	394	1681
190	395	1673
191	395	1666
192	396	1659
193	397	1652
